user_id,policy_num,last_t,entry_t,calendar_t,action1prob,intercept,action,reward,past_action_1,past_reward,past_action_1_reward,dosage,in_study,in_study_row_index,pretreat_feature1,pretreat_feature2,Z_id
1,1.0,50,1,1,0.1033976748585701,1,0.0,-0.4046786045115647,0.0,0.7519521483495167,0.0,0.0,1,0,1.6928619891755146,0.7940096409578267,1
1,2.0,50,1,2,0.15667757391929626,1,1.0,-0.18578362518549904,0.0,-0.4046786045115647,-0.0,0.0,1,1,1.6928619891755146,0.7940096409578267,1
1,3.0,50,1,3,0.4999990463256836,1,0.0,-1.081782429346043,1.0,-0.18578362518549904,-0.18578362518549904,0.050000000000000044,1,2,1.6928619891755146,0.7940096409578267,1
1,4.0,50,1,4,0.4979371428489685,1,0.0,-0.2346206170925709,0.0,-1.081782429346043,-0.0,0.04750000000000004,1,3,1.6928619891755146,0.7940096409578267,1
1,5.0,50,1,5,0.738080620765686,1,1.0,0.4863976999283441,0.0,-0.2346206170925709,-0.0,0.04512500000000004,1,4,1.6928619891755146,0.7940096409578267,1
1,6.0,50,1,6,0.5054797530174255,1,0.0,1.438322093490295,1.0,0.4863976999283441,0.4863976999283441,0.09286875000000008,1,5,1.6928619891755146,0.7940096409578267,1
1,7.0,50,1,7,0.100445955991745,1,0.0,0.1663767871955501,0.0,1.438322093490295,0.0,0.08822531250000007,1,6,1.6928619891755146,0.7940096409578267,1
1,8.0,50,1,8,0.5174126029014587,1,1.0,-0.6599133436576781,0.0,0.1663767871955501,0.0,0.08381404687500006,1,7,1.6928619891755146,0.7940096409578267,1
1,9.0,50,1,9,0.5000341534614563,1,0.0,-1.4865017664684952,1.0,-0.6599133436576781,-0.6599133436576781,0.1296233445312501,1,8,1.6928619891755146,0.7940096409578267,1
1,10.0,50,1,10,0.10004029422998428,1,1.0,-1.9580406690699854,0.0,-1.4865017664684952,-0.0,0.12314217730468759,1,9,1.6928619891755146,0.7940096409578267,1
1,11.0,50,1,11,0.5240568518638611,1,0.0,-1.5711713739242728,1.0,-1.9580406690699854,-1.9580406690699854,0.16698506843945324,1,10,1.6928619891755146,0.7940096409578267,1
1,12.0,50,1,12,0.10010494291782379,1,0.0,-2.0697972691337676,0.0,-1.5711713739242728,-0.0,0.15863581501748056,1,11,1.6928619891755146,0.7940096409578267,1
1,13.0,50,1,13,0.1617024540901184,1,0.0,-0.44639829701148526,0.0,-2.0697972691337676,-0.0,0.1507040242666065,1,12,1.6928619891755146,0.7940096409578267,1
1,14.0,50,1,14,0.8999154567718506,1,1.0,-1.6286683367746737,0.0,-0.44639829701148526,-0.0,0.1431688230532762,1,13,1.6928619891755146,0.7940096409578267,1
1,15.0,50,1,15,0.5237024426460266,1,1.0,-0.5453920785859387,1.0,-1.6286683367746737,-1.6286683367746737,0.18601038190061242,1,14,1.6928619891755146,0.7940096409578267,1
1,16.0,50,1,16,0.4452211260795593,1,1.0,-1.5683499951850823,1.0,-0.5453920785859387,-0.5453920785859387,0.2267098628055818,1,15,1.6928619891755146,0.7940096409578267,1
1,17.0,50,1,17,0.7756401896476746,1,1.0,-1.0166137462649063,1.0,-1.5683499951850823,-1.5683499951850823,0.26537436966530276,1,16,1.6928619891755146,0.7940096409578267,1
1,18.0,50,1,18,0.6070293188095093,1,1.0,-0.3057240213485209,1.0,-1.0166137462649063,-1.0166137462649063,0.30210565118203764,1,17,1.6928619891755146,0.7940096409578267,1
1,19.0,50,1,19,0.5676851868629456,1,1.0,0.5304593800458438,1.0,-0.3057240213485209,-0.3057240213485209,0.33700036862293575,1,18,1.6928619891755146,0.7940096409578267,1
1,20.0,50,1,20,0.8945277333259583,1,1.0,0.27296327280709765,1.0,0.5304593800458438,0.5304593800458438,0.370150350191789,1,19,1.6928619891755146,0.7940096409578267,1
1,21.0,50,1,21,0.5792080163955688,1,0.0,0.4055795957163404,1.0,0.27296327280709765,0.27296327280709765,0.4016428326821996,1,20,1.6928619891755146,0.7940096409578267,1
1,22.0,50,1,22,0.89999920129776,1,1.0,0.7818178516536167,0.0,0.4055795957163404,0.0,0.3815606910480896,1,21,1.6928619891755146,0.7940096409578267,1
1,23.0,50,1,23,0.8999996781349182,1,1.0,0.7446396679340787,1.0,0.7818178516536167,0.7818178516536167,0.41248265649568516,1,22,1.6928619891755146,0.7940096409578267,1
1,24.0,50,1,24,0.8999996781349182,1,1.0,-0.5365712565992,1.0,0.7446396679340787,0.7446396679340787,0.44185852367090095,1,23,1.6928619891755146,0.7940096409578267,1
1,25.0,50,1,25,0.8198378086090088,1,1.0,-0.23434648741132308,1.0,-0.5365712565992,-0.5365712565992,0.46976559748735597,1,24,1.6928619891755146,0.7940096409578267,1
1,26.0,50,1,26,0.8496144413948059,1,0.0,-1.874517531679744,1.0,-0.23434648741132308,-0.23434648741132308,0.49627731761298816,1,25,1.6928619891755146,0.7940096409578267,1
1,27.0,50,1,27,0.11515327543020248,1,0.0,-1.534262301593228,0.0,-1.874517531679744,-0.0,0.4714634517323388,1,26,1.6928619891755146,0.7940096409578267,1
1,28.0,50,1,28,0.18362393975257874,1,0.0,-0.6967704550659415,0.0,-1.534262301593228,-0.0,0.4478902791457218,1,27,1.6928619891755146,0.7940096409578267,1
1,29.0,50,1,29,0.71383136510849,1,1.0,-0.5045515438823103,0.0,-0.6967704550659415,-0.0,0.42549576518843574,1,28,1.6928619891755146,0.7940096409578267,1
1,30.0,50,1,30,0.8689866662025452,1,1.0,-1.2499524034534637,1.0,-0.5045515438823103,-0.5045515438823103,0.4542209769290139,1,29,1.6928619891755146,0.7940096409578267,1
